Keyword,Campaign,Ad group,Max CPC
[online direct debit],DD Services EM,Online Direct Debit,7.143
"""accept online payments""",Online Payments PM,Accept Online,7.143
[accept direct debits],DD Services EM,Accept Direct Debits,6.668
[online direct debit],DD Direct Debit EM,Direct Debit,6.250
[direct debit providers],DD Services EM,Direct Debit Provider,6.250
[direct debit collection],DD Services EM,Direct Debit Collection,6.250
[collect direct debits],DD Services EM,Collect Direct Debit,5.770
Take Recurring Payments,Recurring Payments BM,Take,5.555
[take direct debit payments],DD Payment EM,Taking Direct Debit Payments,5.358
[direct debit facility for small business],DD Services EM,Direct Debit Facility For Small Business,5.000
[direct debit services for small businesses],DD Services EM,Direct Debit Services For Small Businesses,5.000
[direct debit system],DD Services EM,Direct Debit System,5.000
[direct debit services],DD Services EM,Direct Debit Services,4.000
[direct debit set up],DD Long Tail EM,Direct Debit Set Up,3.750
"""Repeat Payments""",Repeat Payments PM,Repeat,3.573
[direct debit online],DD Services EM,Direct Debit Online,3.573
[accepting direct debits],DD Services EM,Accepting Direct Debits,3.573
"""monthly donations""",Charity PM,Monthly Donations,3.573
Accept Recurring Payments Online,Recurring Payments BM,Accept,2.778
[setting up direct debits],DD Services EM,Setting Up Direct Debits,2.678
[direct debit forms],DD Long Tail EM,Direct Debit Forms,2.500
"""direct debit payments""",DD Payment PM,Direct Debit Payments,2.337
"""direct debits maximum monthly payments""",DD Payment PM,Direct Debits Maximum Monthly Payments,2.337
"""payment direct debit""",DD Payment PM,Payment Direct Debit,2.337
"""direct debit payments can they be by your bank""",DD Payment PM,Direct Debit Payments Can They Be By Your Bank,2.337
"""how to accept payments by direct debit""",DD Payment PM,How To Accept Payments By Direct Debit,2.337
"""what is a direct debit payment""",DD Payment PM,What Is A Direct Debit Payment,2.337
"""i want to collect payments through direct debits""",DD Payment PM,I Want To Collect Payments Through Direct Debits,2.337
"""set up a website with direct debit payments""",DD Payment PM,Set Up A Website With Direct Debit Payments,2.337
"""taking direct debit payments""",DD Payment PM,Taking Direct Debit Payments,2.337
"""accept direct debit payments""",DD Payment PM,Accept Direct Debit Payments,2.337
"""collect direct debit payments""",DD Payment PM,Collect Direct Debit Payments,2.337
"""direct debit payment""",DD Payment PM,Direct Debit Payment,2.190
[direct debit payments],DD Payment EM,Direct Debit Payments,1.923
[direct debits maximum monthly payments],DD Payment EM,Direct Debits Maximum Monthly Payments,1.923
[payment direct debit],DD Payment EM,Payment Direct Debit,1.923
[direct debit payments can they be by your bank],DD Payment EM,Direct Debit Payments Can They Be By Your Bank,1.923
[how to accept payments by direct debit],DD Payment EM,How To Accept Payments By Direct Debit,1.923
[what is a direct debit payment],DD Payment EM,What Is A Direct Debit Payment,1.923
[i want to collect payments through direct debits],DD Payment EM,I Want To Collect Payments Through Direct Debits,1.923
[set up a website with direct debit payments],DD Payment EM,Set Up A Website With Direct Debit Payments,1.923
[taking direct debit payments],DD Payment EM,Taking Direct Debit Payments,1.923
[accept direct debit payments],DD Payment EM,Accept Direct Debit Payments,1.923
[collect direct debit payments],DD Payment EM,Collect Direct Debit Payments,1.923
[faster payment],DD Payment EM,faster payment,1.923
[faster payment system],DD Payment EM,faster payment system,1.923
[faster payments system],DD Payment EM,faster payments system,1.923
[faster payments uk],DD Payment EM,faster payments uk,1.923
[uk faster payments],DD Payment EM,uk faster payments,1.923
[direct debit rules],DD Questions EM,Direct Debit Rules,1.785
[direct debit bureau services uk],DD Services EM,Direct Debit Bureau Services Uk,1.757
[direct debit business],DD Services EM,Direct Debit Business,1.757
[direct debits small business],DD Services EM,Direct Debit Business,1.757
[what is the best direct debit solution for small business],DD Services EM,Direct Debit Business,1.757
[direct debit collection services],DD Services EM,Direct Debit Collection Services,1.757
[direct debit companies],DD Services EM,Direct Debit Companies,1.757
[direct debit facility setting up online uk],DD Services EM,Direct Debit Facility Setting Up Online Uk,1.757
[direct debit for small business],DD Services EM,Direct Debit For Small Business,1.757
[direct debit guarantee scheme],DD Services EM,Direct Debit Guarantee Scheme,1.757
[direct debit guarantee wording],DD Services EM,Direct Debit Guarantee Wording,1.757
[direct debit indemnity guarantee],DD Services EM,Direct Debit Indemnity Guarantee,1.757
[direct debit indemnity scheme],DD Services EM,Direct Debit Indemnity Scheme,1.757
[direct debit management],DD Services EM,Direct Debit Management Software,1.757
[direct debit facilities management],DD Services EM,Direct Debit Management Software,1.757
[direct debit management services],DD Services EM,Direct Debit Management Software,1.757
[direct debit management software],DD Services EM,Direct Debit Management Software,1.757
[direct debit management companies],DD Services EM,Direct Debit Management Software,1.757
[direct debit management solutions],DD Services EM,Direct Debit Management Software,1.757
[direct debit processing for small business],DD Services EM,Direct Debit Processing For Small Business,1.757
[direct debit provider],DD Services EM,Direct Debit Provider,1.757
[direct debit service],DD Services EM,Direct Debit Services,1.757
[direct debit software],DD Services EM,Direct Debit Software,1.757
[direct debit software sage line 50],DD Services EM,Direct Debit Software Sage Line 50,1.757
[direct debit systems],DD Services EM,Direct Debit Systems,1.757
[direct debit transfer],DD Services EM,Direct Debit Transfer,1.757
[go cashless direct debit],DD Services EM,Go Cashless Direct Debit,1.757
[gocardless paper direct debit],DD Services EM,Gocardless Paper Direct Debit,1.757
[i am a business who wants to collect direct debits],DD Services EM,I Am A Business Who Wants To Collect Direct Debits,1.757
[online direct debit alternative],DD Services EM,Online Direct Debit Alternative,1.757
[online direct debit collection],DD Services EM,Online Direct Debit Collection,1.757
[online direct debit form],DD Services EM,Online Direct Debit Form,1.757
[online direct debit service provider],DD Services EM,Online Direct Debit Service Provider,1.757
[online direct debits],DD Services EM,Online Direct Debits,1.757
[debit payment],DD Services EM,Pay On Line By Direct Debit,1.757
[debit payments],DD Services EM,Pay On Line By Direct Debit,1.757
[pay on line by direct debit],DD Services EM,Pay On Line By Direct Debit,1.757
[same day direct debit set up],DD Services EM,Same Day Direct Debit Set Up,1.757
[set up a direct debit],DD Services EM,Set Up A Direct Debit,1.757
[how to set up direct debits],DD Services EM,Set Up Direct Debit,1.757
[set up direct debit on credit card],DD Services EM,Set Up Direct Debit,1.757
[set up direct debit collection],DD Services EM,Set Up Direct Debit Collection,1.757
[set up direct debit for your business],DD Services EM,Set Up Direct Debit For Your Business,1.757
[set up direct debits online],DD Services EM,Set Up Direct Debits Online,1.757
[setting up a direct debit],DD Services EM,Setting Up A Direct Debit,1.757
[setting up direct debit],DD Services EM,Setting Up Direct Debit,1.757
[set up direct debit],DD Services EM,Setting Up Direct Debits,1.757
[setting up direct debits for businesss],DD Services EM,Setting Up Direct Debits For Businesss,1.757
[smart direct debit],DD Services EM,Smart Direct Debit,1.757
[take direct debit],DD Services EM,Take Direct Debit,1.757
[can i take direct debits using paypal],DD Services EM,Take Direct Debit,1.757
[take recurring direct debits online],DD Services EM,Take Recurring Direct Debits Online,1.757
[taking direct debit],DD Services EM,Taking Direct Debit,1.757
[ways to be a direct debit originator],DD Services EM,Ways To Be A Direct Debit Originator,1.757
[accept direct debit],DD Services EM,Accept Direct Debit,1.757
[accepting direct debit],DD Services EM,Accepting Direct Debit,1.757
[accepting direct debit barclays],DD Services EM,Accepting Direct Debit,1.757
[how can my businrss accept direct debit],DD Services EM,Accepting Direct Debit,1.757
[collect direct debit],DD Services EM,Collect Direct Debit,1.757
[collecting direct debits online],DD Services EM,Collecting Direct Debits Online,1.757
[direct debit originator],DD Services EM,Direct Debit Originator,1.757
